L,MON,SZN,TAR,LDC_SST_NASA_GEOSS2S,OBS_NINO3.4_L3,BIAS,BIAS_ABS
3.5,2008-08-01,OND,2008-11-15,26.08642,26.12,-0.03358000000000061,0.03358000000000061
2.5,2008-09-01,OND,2008-11-15,26.35223,26.12,0.23222999999999772,0.23222999999999772
1.5,2008-10-01,OND,2008-11-15,25.99117,26.12,-0.12883000000000067,0.12883000000000067
7.5,2009-11-01,MJJ,2010-06-15,27.58882,26.99,0.5988199999999999,0.5988199999999999
6.5,2009-12-01,MJJ,2010-06-15,28.16928,26.99,1.179280000000002,1.179280000000002
5.5,2010-01-01,MJJ,2010-06-15,28.0959,26.99,1.1059000000000019,1.1059000000000019
4.5,2010-02-01,MJJ,2010-06-15,27.84264,26.99,0.852640000000001,0.852640000000001
3.5,2010-03-01,MJJ,2010-06-15,27.89687,26.99,0.9068700000000014,0.9068700000000014
2.5,2010-04-01,MJJ,2010-06-15,27.66809,26.99,0.678090000000001,0.678090000000001
1.5,2010-05-01,MJJ,2010-06-15,27.4289,26.99,0.4389000000000003,0.4389000000000003
7.5,2010-12-01,JJA,2011-07-15,26.02335,26.81,-0.7866499999999981,0.7866499999999981
6.5,2011-01-01,JJA,2011-07-15,26.92025,26.81,0.11025000000000063,0.11025000000000063
5.5,2011-02-01,JJA,2011-07-15,26.93734,26.81,0.12734000000000023,0.12734000000000023
4.5,2011-03-01,JJA,2011-07-15,27.62058,26.81,0.8105800000000016,0.8105800000000016
3.5,2011-04-01,JJA,2011-07-15,27.64002,26.81,0.8300200000000011,0.8300200000000011
2.5,2011-05-01,JJA,2011-07-15,27.40154,26.81,0.591540000000002,0.591540000000002
1.5,2011-06-01,JJA,2011-07-15,27.4187,26.81,0.6087000000000025,0.6087000000000025
7.5,2016-01-01,JAS,2016-08-15,26.43133,26.413333333333338,0.017996666666661554,0.017996666666661554
6.5,2016-02-01,JAS,2016-08-15,26.45734,26.413333333333338,0.044006666666660976,0.044006666666660976
5.5,2016-03-01,JAS,2016-08-15,27.10201,26.413333333333338,0.6886766666666624,0.6886766666666624
4.5,2016-04-01,JAS,2016-08-15,26.9873,26.413333333333338,0.5739666666666636,0.5739666666666636
3.5,2016-05-01,JAS,2016-08-15,26.42089,26.413333333333338,0.007556666666662437,0.007556666666662437
2.5,2016-06-01,JAS,2016-08-15,26.32324,26.413333333333338,-0.09009333333333913,0.09009333333333913
1.5,2016-07-01,JAS,2016-08-15,26.58678,26.413333333333338,0.17344666666666342,0.17344666666666342
7.5,2017-03-01,SON,2017-10-15,29.59822,26.06,3.5382200000000026,3.5382200000000026
6.5,2017-04-01,SON,2017-10-15,27.92763,26.06,1.867630000000002,1.867630000000002
5.5,2017-05-01,SON,2017-10-15,27.27716,26.06,1.2171599999999998,1.2171599999999998
4.5,2017-06-01,SON,2017-10-15,26.87763,26.06,0.8176300000000012,0.8176300000000012
3.5,2017-07-01,SON,2017-10-15,26.24305,26.06,0.1830500000000015,0.1830500000000015
2.5,2017-08-01,SON,2017-10-15,25.48078,26.06,-0.5792199999999994,0.5792199999999994
1.5,2017-09-01,SON,2017-10-15,25.14221,26.06,-0.9177900000000001,0.9177900000000001
7.5,2020-01-01,JAS,2020-08-15,25.61992,26.38,-0.7600799999999985,0.7600799999999985
6.5,2020-02-01,JAS,2020-08-15,26.03405,26.38,-0.3459499999999984,0.3459499999999984
5.5,2020-03-01,JAS,2020-08-15,26.05002,26.38,-0.32997999999999905,0.32997999999999905
4.5,2020-04-01,JAS,2020-08-15,25.58521,26.38,-0.794789999999999,0.794789999999999
3.5,2020-05-01,JAS,2020-08-15,26.13247,26.38,-0.24752999999999759,0.24752999999999759
2.5,2020-06-01,JAS,2020-08-15,25.97091,26.38,-0.40908999999999907,0.40908999999999907
1.5,2020-07-01,JAS,2020-08-15,25.71633,26.38,-0.6636699999999998,0.6636699999999998
5.5,1991-01-01,MJJ,1991-06-15,26.80483,28.166666666666668,-1.3618366666666688,1.3618366666666688
4.5,1991-02-01,MJJ,1991-06-15,28.29128,28.166666666666668,0.12461333333333258,0.12461333333333258
3.5,1991-03-01,MJJ,1991-06-15,27.79006,28.166666666666668,-0.3766066666666674,0.3766066666666674
2.5,1991-04-01,MJJ,1991-06-15,27.81774,28.166666666666668,-0.3489266666666673,0.3489266666666673
1.5,1991-05-01,MJJ,1991-06-15,28.02165,28.166666666666668,-0.1450166666666668,0.1450166666666668
7.5,1994-02-01,ASO,1994-09-15,27.09845,27.35,-0.2515500000000017,0.2515500000000017
6.5,1994-03-01,ASO,1994-09-15,26.64098,27.35,-0.7090200000000024,0.7090200000000024
5.5,1994-04-01,ASO,1994-09-15,27.64729,27.35,0.2972900000000003,0.2972900000000003
4.5,1994-05-01,ASO,1994-09-15,27.49224,27.35,0.14223999999999748,0.14223999999999748
3.5,1994-06-01,ASO,1994-09-15,27.32557,27.35,-0.024430000000002394,0.024430000000002394
2.5,1994-07-01,ASO,1994-09-15,26.73433,27.35,-0.6156700000000015,0.6156700000000015
1.5,1994-08-01,ASO,1994-09-15,26.29405,27.35,-1.0559500000000028,1.0559500000000028
7.5,1996-10-01,AMJ,1997-05-15,26.84907,28.459999999999997,-1.6109299999999962,1.6109299999999962
6.5,1996-11-01,AMJ,1997-05-15,26.82809,28.459999999999997,-1.6319099999999978,1.6319099999999978
5.5,1996-12-01,AMJ,1997-05-15,27.16565,28.459999999999997,-1.294349999999998,1.294349999999998
4.5,1997-01-01,AMJ,1997-05-15,28.04129,28.459999999999997,-0.41870999999999725,0.41870999999999725
3.5,1997-02-01,AMJ,1997-05-15,27.82337,28.459999999999997,-0.6366299999999967,0.6366299999999967
2.5,1997-03-01,AMJ,1997-05-15,28.47516,28.459999999999997,0.015160000000001617,0.015160000000001617
1.5,1997-04-01,AMJ,1997-05-15,28.69616,28.459999999999997,0.2361600000000017,0.2361600000000017
7.5,2001-11-01,MJJ,2002-06-15,27.58541,28.236666666666668,-0.6512566666666686,0.6512566666666686
6.5,2001-12-01,MJJ,2002-06-15,28.06873,28.236666666666668,-0.1679366666666695,0.1679366666666695
5.5,2002-01-01,MJJ,2002-06-15,27.55053,28.236666666666668,-0.6861366666666697,0.6861366666666697
4.5,2002-02-01,MJJ,2002-06-15,28.74876,28.236666666666668,0.5120933333333326,0.5120933333333326
3.5,2002-03-01,MJJ,2002-06-15,28.6382,28.236666666666668,0.4015333333333331,0.4015333333333331
2.5,2002-04-01,MJJ,2002-06-15,28.45882,28.236666666666668,0.2221533333333312,0.2221533333333312
1.5,2002-05-01,MJJ,2002-06-15,28.0846,28.236666666666668,-0.1520666666666699,0.1520666666666699
7.5,2003-12-01,JJA,2004-07-15,26.43325,27.753333333333337,-1.3200833333333364,1.3200833333333364
6.5,2004-01-01,JJA,2004-07-15,27.28712,27.753333333333337,-0.4662133333333358,0.4662133333333358
5.5,2004-02-01,JJA,2004-07-15,27.62981,27.753333333333337,-0.12352333333333831,0.12352333333333831
4.5,2004-03-01,JJA,2004-07-15,28.15639,27.753333333333337,0.40305666666666085,0.40305666666666085
3.5,2004-04-01,JJA,2004-07-15,28.01226,27.753333333333337,0.25892666666666386,0.25892666666666386
2.5,2004-05-01,JJA,2004-07-15,27.86981,27.753333333333337,0.11647666666666368,0.11647666666666368
1.5,2004-06-01,JJA,2004-07-15,27.74098,27.753333333333337,-0.012353333333336991,0.012353333333336991
7.5,2006-02-01,ASO,2006-09-15,27.28795,27.296666666666667,-0.00871666666666826,0.00871666666666826
6.5,2006-03-01,ASO,2006-09-15,27.25324,27.296666666666667,-0.04342666666666517,0.04342666666666517
5.5,2006-04-01,ASO,2006-09-15,27.47985,27.296666666666667,0.18318333333333214,0.18318333333333214
4.5,2006-05-01,ASO,2006-09-15,27.06574,27.296666666666667,-0.23092666666666517,0.23092666666666517
3.5,2006-06-01,ASO,2006-09-15,27.32498,27.296666666666667,0.02831333333333319,0.02831333333333319
2.5,2006-07-01,ASO,2006-09-15,26.72659,27.296666666666667,-0.5700766666666652,0.5700766666666652
1.5,2006-08-01,ASO,2006-09-15,26.81186,27.296666666666667,-0.4848066666666675,0.4848066666666675
7.5,2008-12-01,JJA,2009-07-15,26.9437,27.74666666666667,-0.8029666666666699,0.8029666666666699
6.5,2009-01-01,JJA,2009-07-15,27.70013,27.74666666666667,-0.046536666666668225,0.046536666666668225
5.5,2009-02-01,JJA,2009-07-15,27.41307,27.74666666666667,-0.33359666666666854,0.33359666666666854
4.5,2009-03-01,JJA,2009-07-15,27.51906,27.74666666666667,-0.22760666666667007,0.22760666666667007
3.5,2009-04-01,JJA,2009-07-15,27.49281,27.74666666666667,-0.25385666666667106,0.25385666666667106
2.5,2009-05-01,JJA,2009-07-15,27.83276,27.74666666666667,0.08609333333333069,0.08609333333333069
1.5,2009-06-01,JJA,2009-07-15,27.88525,27.74666666666667,0.1385833333333295,0.1385833333333295
7.5,2014-03-01,SON,2014-10-15,29.45416,27.210000000000004,2.2441599999999973,2.2441599999999973
6.5,2014-04-01,SON,2014-10-15,29.34001,27.210000000000004,2.130009999999995,2.130009999999995
5.5,2014-05-01,SON,2014-10-15,27.86289,27.210000000000004,0.6528899999999958,0.6528899999999958
4.5,2014-06-01,SON,2014-10-15,27.94029,27.210000000000004,0.7302899999999966,0.7302899999999966
3.5,2014-07-01,SON,2014-10-15,27.38312,27.210000000000004,0.17311999999999728,0.17311999999999728
2.5,2014-08-01,SON,2014-10-15,27.04567,27.210000000000004,-0.1643300000000032,0.1643300000000032
1.5,2014-09-01,SON,2014-10-15,27.34272,27.210000000000004,0.1327199999999955,0.1327199999999955
7.5,2018-02-01,ASO,2018-09-15,27.00464,27.25,-0.24536000000000158,0.24536000000000158
6.5,2018-03-01,ASO,2018-09-15,26.85674,27.25,-0.3932600000000015,0.3932600000000015
5.5,2018-04-01,ASO,2018-09-15,26.84667,27.25,-0.4033300000000004,0.4033300000000004
4.5,2018-05-01,ASO,2018-09-15,26.41045,27.25,-0.8395499999999991,0.8395499999999991
3.5,2018-06-01,ASO,2018-09-15,27.33531,27.25,0.08530999999999977,0.08530999999999977
2.5,2018-07-01,ASO,2018-09-15,26.84887,27.25,-0.40112999999999843,0.40112999999999843
1.5,2018-08-01,ASO,2018-09-15,26.77737,27.25,-0.4726299999999988,0.4726299999999988
