L,MON,SZN,TAR,LDC_SST_NCEP_CFSv2,OBS_NINO3.4_L3,BIAS,BIAS_ABS
6.5,2008-05-01,OND,2008-11-15,26.32797,26.12,0.20796999999999954,0.20796999999999954
5.5,2008-06-01,OND,2008-11-15,25.93367,26.12,-0.18633000000000166,0.18633000000000166
4.5,2008-07-01,OND,2008-11-15,25.89464,26.12,-0.225360000000002,0.225360000000002
3.5,2008-08-01,OND,2008-11-15,25.94834,26.12,-0.17165999999999926,0.17165999999999926
2.5,2008-09-01,OND,2008-11-15,26.24138,26.12,0.12137999999999849,0.12137999999999849
1.5,2008-10-01,OND,2008-11-15,26.81591,26.12,0.6959099999999978,0.6959099999999978
8.5,2009-10-01,MJJ,2010-06-15,28.21441,26.99,1.2244100000000024,1.2244100000000024
7.5,2009-11-01,MJJ,2010-06-15,28.22992,26.99,1.2399200000000015,1.2399200000000015
6.5,2009-12-01,MJJ,2010-06-15,28.19822,26.99,1.2082200000000007,1.2082200000000007
5.5,2010-01-01,MJJ,2010-06-15,28.09716,26.99,1.1071600000000004,1.1071600000000004
4.5,2010-02-01,MJJ,2010-06-15,28.05014,26.99,1.0601400000000005,1.0601400000000005
3.5,2010-03-01,MJJ,2010-06-15,28.23841,26.99,1.2484099999999998,1.2484099999999998
2.5,2010-04-01,MJJ,2010-06-15,28.08842,26.99,1.0984200000000008,1.0984200000000008
1.5,2010-05-01,MJJ,2010-06-15,27.25256,26.99,0.26256000000000057,0.26256000000000057
8.5,2010-11-01,JJA,2011-07-15,27.10895,26.81,0.2989500000000014,0.2989500000000014
7.5,2010-12-01,JJA,2011-07-15,27.12814,26.81,0.31813999999999965,0.31813999999999965
6.5,2011-01-01,JJA,2011-07-15,27.54655,26.81,0.7365500000000011,0.7365500000000011
5.5,2011-02-01,JJA,2011-07-15,27.85821,26.81,1.048210000000001,1.048210000000001
4.5,2011-03-01,JJA,2011-07-15,27.61056,26.81,0.8005600000000008,0.8005600000000008
3.5,2011-04-01,JJA,2011-07-15,27.66934,26.81,0.8593399999999995,0.8593399999999995
2.5,2011-05-01,JJA,2011-07-15,26.93827,26.81,0.12827000000000055,0.12827000000000055
1.5,2011-06-01,JJA,2011-07-15,26.68304,26.81,-0.1269600000000004,0.1269600000000004
8.5,2015-12-01,JAS,2016-08-15,26.61525,26.413333333333338,0.20191666666666208,0.20191666666666208
7.5,2016-01-01,JAS,2016-08-15,26.82178,26.413333333333338,0.40844666666666285,0.40844666666666285
6.5,2016-02-01,JAS,2016-08-15,27.22467,26.413333333333338,0.8113366666666622,0.8113366666666622
5.5,2016-03-01,JAS,2016-08-15,27.81559,26.413333333333338,1.4022566666666627,1.4022566666666627
4.5,2016-04-01,JAS,2016-08-15,26.80997,26.413333333333338,0.3966366666666623,0.3966366666666623
3.5,2016-05-01,JAS,2016-08-15,25.10036,26.413333333333338,-1.312973333333339,1.312973333333339
2.5,2016-06-01,JAS,2016-08-15,25.10659,26.413333333333338,-1.306743333333337,1.306743333333337
1.5,2016-07-01,JAS,2016-08-15,25.77019,26.413333333333338,-0.6431433333333381,0.6431433333333381
8.5,2017-02-01,SON,2017-10-15,27.43364,26.06,1.3736400000000017,1.3736400000000017
7.5,2017-03-01,SON,2017-10-15,28.14165,26.06,2.08165,2.08165
6.5,2017-04-01,SON,2017-10-15,27.97164,26.06,1.911640000000002,1.911640000000002
5.5,2017-05-01,SON,2017-10-15,26.65166,26.06,0.591660000000001,0.591660000000001
4.5,2017-06-01,SON,2017-10-15,25.76995,26.06,-0.29004999999999725,0.29004999999999725
3.5,2017-07-01,SON,2017-10-15,25.63254,26.06,-0.42745999999999995,0.42745999999999995
2.5,2017-08-01,SON,2017-10-15,25.47836,26.06,-0.5816400000000002,0.5816400000000002
1.5,2017-09-01,SON,2017-10-15,25.78685,26.06,-0.27314999999999756,0.27314999999999756
8.5,2019-12-01,JAS,2020-08-15,26.52045,26.38,0.1404500000000013,0.1404500000000013
7.5,2020-01-01,JAS,2020-08-15,26.02709,26.38,-0.35290999999999784,0.35290999999999784
6.5,2020-02-01,JAS,2020-08-15,25.78916,26.38,-0.59084,0.59084
5.5,2020-03-01,JAS,2020-08-15,26.13546,26.38,-0.24454000000000065,0.24454000000000065
4.5,2020-04-01,JAS,2020-08-15,25.9686,26.38,-0.41140000000000043,0.41140000000000043
3.5,2020-05-01,JAS,2020-08-15,25.41529,26.38,-0.9647100000000002,0.9647100000000002
2.5,2020-06-01,JAS,2020-08-15,25.12199,26.38,-1.2580099999999987,1.2580099999999987
1.5,2020-07-01,JAS,2020-08-15,25.57801,26.38,-0.80199,0.80199
