L,MON,SZN,TAR,LDC_SST_GFDL_SPEAR,OBS_NINO3.4_L3,BIAS,BIAS_ABS
9.5,2006-09-01,MJJ,2007-06-15,27.28854,27.180000000000003,0.10853999999999786,0.10853999999999786
8.5,2006-10-01,MJJ,2007-06-15,27.32086,27.180000000000003,0.14085999999999643,0.14085999999999643
7.5,2006-11-01,MJJ,2007-06-15,27.01847,27.180000000000003,-0.16153000000000262,0.16153000000000262
6.5,2006-12-01,MJJ,2007-06-15,27.12933,27.180000000000003,-0.05067000000000377,0.05067000000000377
5.5,2007-01-01,MJJ,2007-06-15,27.08181,27.180000000000003,-0.09819000000000244,0.09819000000000244
4.5,2007-02-01,MJJ,2007-06-15,27.0397,27.180000000000003,-0.14030000000000342,0.14030000000000342
3.5,2007-03-01,MJJ,2007-06-15,27.15792,27.180000000000003,-0.022080000000002542,0.022080000000002542
2.5,2007-04-01,MJJ,2007-06-15,27.27591,27.180000000000003,0.09590999999999639,0.09590999999999639
1.5,2007-05-01,MJJ,2007-06-15,27.15594,27.180000000000003,-0.02406000000000219,0.02406000000000219
10.5,2008-01-01,OND,2008-11-15,25.11271,26.12,-1.0072900000000011,1.0072900000000011
9.5,2008-02-01,OND,2008-11-15,25.61804,26.12,-0.5019600000000004,0.5019600000000004
8.5,2008-03-01,OND,2008-11-15,25.64146,26.12,-0.4785400000000024,0.4785400000000024
7.5,2008-04-01,OND,2008-11-15,25.84762,26.12,-0.27238000000000184,0.27238000000000184
6.5,2008-05-01,OND,2008-11-15,25.94927,26.12,-0.1707300000000025,0.1707300000000025
5.5,2008-06-01,OND,2008-11-15,26.2459,26.12,0.1258999999999979,0.1258999999999979
4.5,2008-07-01,OND,2008-11-15,25.98821,26.12,-0.1317900000000023,0.1317900000000023
3.5,2008-08-01,OND,2008-11-15,26.17984,26.12,0.05983999999999767,0.05983999999999767
2.5,2008-09-01,OND,2008-11-15,26.41324,26.12,0.2932399999999973,0.2932399999999973
1.5,2008-10-01,OND,2008-11-15,26.52559,26.12,0.4055900000000001,0.4055900000000001
10.5,2009-08-01,MJJ,2010-06-15,27.63326,26.99,0.6432600000000015,0.6432600000000015
9.5,2009-09-01,MJJ,2010-06-15,27.64732,26.99,0.6573200000000021,0.6573200000000021
8.5,2009-10-01,MJJ,2010-06-15,27.53274,26.99,0.542740000000002,0.542740000000002
7.5,2009-11-01,MJJ,2010-06-15,27.50069,26.99,0.5106900000000003,0.5106900000000003
6.5,2009-12-01,MJJ,2010-06-15,27.24946,26.99,0.2594600000000007,0.2594600000000007
5.5,2010-01-01,MJJ,2010-06-15,27.107,26.99,0.11700000000000088,0.11700000000000088
4.5,2010-02-01,MJJ,2010-06-15,26.8608,26.99,-0.12919999999999732,0.12919999999999732
3.5,2010-03-01,MJJ,2010-06-15,26.85813,26.99,-0.13186999999999927,0.13186999999999927
2.5,2010-04-01,MJJ,2010-06-15,27.15294,26.99,0.16294000000000253,0.16294000000000253
1.5,2010-05-01,MJJ,2010-06-15,27.51454,26.99,0.5245400000000018,0.5245400000000018
10.5,2010-09-01,JJA,2011-07-15,26.15293,26.81,-0.6570699999999974,0.6570699999999974
9.5,2010-10-01,JJA,2011-07-15,26.3999,26.81,-0.4100999999999999,0.4100999999999999
8.5,2010-11-01,JJA,2011-07-15,26.48567,26.81,-0.3243299999999998,0.3243299999999998
7.5,2010-12-01,JJA,2011-07-15,26.83004,26.81,0.020040000000001612,0.020040000000001612
6.5,2011-01-01,JJA,2011-07-15,26.91293,26.81,0.10293000000000063,0.10293000000000063
5.5,2011-02-01,JJA,2011-07-15,27.07268,26.81,0.2626799999999996,0.2626799999999996
4.5,2011-03-01,JJA,2011-07-15,26.98311,26.81,0.1731100000000012,0.1731100000000012
3.5,2011-04-01,JJA,2011-07-15,27.22452,26.81,0.41451999999999956,0.41451999999999956
2.5,2011-05-01,JJA,2011-07-15,27.17997,26.81,0.36997000000000213,0.36997000000000213
1.5,2011-06-01,JJA,2011-07-15,27.08949,26.81,0.2794900000000027,0.2794900000000027
10.5,2015-10-01,JAS,2016-08-15,26.20618,26.413333333333338,-0.20715333333333774,0.20715333333333774
9.5,2015-11-01,JAS,2016-08-15,25.96752,26.413333333333338,-0.44581333333333717,0.44581333333333717
8.5,2015-12-01,JAS,2016-08-15,25.70733,26.413333333333338,-0.7060033333333386,0.7060033333333386
7.5,2016-01-01,JAS,2016-08-15,25.79798,26.413333333333338,-0.6153533333333385,0.6153533333333385
6.5,2016-02-01,JAS,2016-08-15,25.71866,26.413333333333338,-0.6946733333333377,0.6946733333333377
5.5,2016-03-01,JAS,2016-08-15,25.63525,26.413333333333338,-0.7780833333333383,0.7780833333333383
4.5,2016-04-01,JAS,2016-08-15,25.39733,26.413333333333338,-1.0160033333333374,1.0160033333333374
3.5,2016-05-01,JAS,2016-08-15,25.5356,26.413333333333338,-0.8777333333333388,0.8777333333333388
2.5,2016-06-01,JAS,2016-08-15,25.87417,26.413333333333338,-0.5391633333333381,0.5391633333333381
1.5,2016-07-01,JAS,2016-08-15,26.42477,26.413333333333338,0.01143666666666121,0.01143666666666121
10.5,2016-12-01,SON,2017-10-15,26.18376,26.06,0.12376000000000076,0.12376000000000076
9.5,2017-01-01,SON,2017-10-15,26.55424,26.06,0.49424000000000134,0.49424000000000134
8.5,2017-02-01,SON,2017-10-15,26.6404,26.06,0.5804000000000009,0.5804000000000009
7.5,2017-03-01,SON,2017-10-15,27.12174,26.06,1.0617400000000004,1.0617400000000004
6.5,2017-04-01,SON,2017-10-15,26.90684,26.06,0.8468400000000003,0.8468400000000003
5.5,2017-05-01,SON,2017-10-15,26.67764,26.06,0.6176400000000015,0.6176400000000015
4.5,2017-06-01,SON,2017-10-15,26.317,26.06,0.25700000000000145,0.25700000000000145
3.5,2017-07-01,SON,2017-10-15,26.2044,26.06,0.14440000000000097,0.14440000000000097
2.5,2017-08-01,SON,2017-10-15,26.31944,26.06,0.25944000000000145,0.25944000000000145
1.5,2017-09-01,SON,2017-10-15,26.00645,26.06,-0.053549999999997766,0.053549999999997766
10.5,2019-10-01,JAS,2020-08-15,26.3308,26.38,-0.04919999999999902,0.04919999999999902
9.5,2019-11-01,JAS,2020-08-15,26.33085,26.38,-0.04914999999999736,0.04914999999999736
8.5,2019-12-01,JAS,2020-08-15,26.56592,26.38,0.18591999999999942,0.18591999999999942
7.5,2020-01-01,JAS,2020-08-15,26.17244,26.38,-0.2075599999999973,0.2075599999999973
6.5,2020-02-01,JAS,2020-08-15,25.88028,26.38,-0.49971999999999994,0.49971999999999994
5.5,2020-03-01,JAS,2020-08-15,25.97162,26.38,-0.4083799999999975,0.4083799999999975
4.5,2020-04-01,JAS,2020-08-15,25.87421,26.38,-0.5057899999999975,0.5057899999999975
3.5,2020-05-01,JAS,2020-08-15,26.14352,26.38,-0.23648000000000025,0.23648000000000025
2.5,2020-06-01,JAS,2020-08-15,25.88387,26.38,-0.4961299999999973,0.4961299999999973
1.5,2020-07-01,JAS,2020-08-15,26.20946,26.38,-0.17053999999999903,0.17053999999999903
5.5,1991-01-01,MJJ,1991-06-15,26.99391,28.166666666666668,-1.1727566666666682,1.1727566666666682
4.5,1991-02-01,MJJ,1991-06-15,27.00818,28.166666666666668,-1.1584866666666684,1.1584866666666684
3.5,1991-03-01,MJJ,1991-06-15,27.12574,28.166666666666668,-1.0409266666666674,1.0409266666666674
2.5,1991-04-01,MJJ,1991-06-15,26.89672,28.166666666666668,-1.2699466666666694,1.2699466666666694
1.5,1991-05-01,MJJ,1991-06-15,27.43413,28.166666666666668,-0.7325366666666682,0.7325366666666682
10.5,1993-11-01,ASO,1994-09-15,24.68826,27.35,-2.6617400000000018,2.6617400000000018
9.5,1993-12-01,ASO,1994-09-15,24.79109,27.35,-2.558910000000001,2.558910000000001
8.5,1994-01-01,ASO,1994-09-15,25.12062,27.35,-2.2293800000000026,2.2293800000000026
7.5,1994-02-01,ASO,1994-09-15,25.39956,27.35,-1.9504400000000004,1.9504400000000004
6.5,1994-03-01,ASO,1994-09-15,25.43159,27.35,-1.9184100000000015,1.9184100000000015
5.5,1994-04-01,ASO,1994-09-15,25.81676,27.35,-1.5332400000000028,1.5332400000000028
4.5,1994-05-01,ASO,1994-09-15,25.94753,27.35,-1.402470000000001,1.402470000000001
3.5,1994-06-01,ASO,1994-09-15,26.12586,27.35,-1.224140000000002,1.224140000000002
2.5,1994-07-01,ASO,1994-09-15,25.91547,27.35,-1.4345300000000023,1.4345300000000023
1.5,1994-08-01,ASO,1994-09-15,26.34406,27.35,-1.0059400000000025,1.0059400000000025
10.5,1996-07-01,AMJ,1997-05-15,26.89106,28.459999999999997,-1.5689399999999978,1.5689399999999978
9.5,1996-08-01,AMJ,1997-05-15,27.12857,28.459999999999997,-1.3314299999999974,1.3314299999999974
8.5,1996-09-01,AMJ,1997-05-15,27.42555,28.459999999999997,-1.034449999999996,1.034449999999996
7.5,1996-10-01,AMJ,1997-05-15,27.52903,28.459999999999997,-0.9309699999999985,0.9309699999999985
6.5,1996-11-01,AMJ,1997-05-15,27.46364,28.459999999999997,-0.9963599999999957,0.9963599999999957
5.5,1996-12-01,AMJ,1997-05-15,27.70116,28.459999999999997,-0.7588399999999957,0.7588399999999957
4.5,1997-01-01,AMJ,1997-05-15,27.83588,28.459999999999997,-0.6241199999999978,0.6241199999999978
3.5,1997-02-01,AMJ,1997-05-15,27.86982,28.459999999999997,-0.5901799999999966,0.5901799999999966
2.5,1997-03-01,AMJ,1997-05-15,28.06826,28.459999999999997,-0.39173999999999864,0.39173999999999864
1.5,1997-04-01,AMJ,1997-05-15,27.85766,28.459999999999997,-0.6023399999999981,0.6023399999999981
10.5,2001-08-01,MJJ,2002-06-15,27.84832,28.236666666666668,-0.38834666666666706,0.38834666666666706
9.5,2001-09-01,MJJ,2002-06-15,27.51181,28.236666666666668,-0.7248566666666676,0.7248566666666676
8.5,2001-10-01,MJJ,2002-06-15,27.70922,28.236666666666668,-0.5274466666666697,0.5274466666666697
7.5,2001-11-01,MJJ,2002-06-15,27.93381,28.236666666666668,-0.302856666666667,0.302856666666667
6.5,2001-12-01,MJJ,2002-06-15,27.33587,28.236666666666668,-0.9007966666666682,0.9007966666666682
5.5,2002-01-01,MJJ,2002-06-15,27.60017,28.236666666666668,-0.6364966666666696,0.6364966666666696
4.5,2002-02-01,MJJ,2002-06-15,27.67765,28.236666666666668,-0.5590166666666683,0.5590166666666683
3.5,2002-03-01,MJJ,2002-06-15,27.70953,28.236666666666668,-0.5271366666666673,0.5271366666666673
2.5,2002-04-01,MJJ,2002-06-15,27.69141,28.236666666666668,-0.545256666666667,0.545256666666667
1.5,2002-05-01,MJJ,2002-06-15,27.75501,28.236666666666668,-0.4816566666666695,0.4816566666666695
10.5,2003-09-01,JJA,2004-07-15,26.79887,27.753333333333337,-0.9544633333333365,0.9544633333333365
9.5,2003-10-01,JJA,2004-07-15,26.70222,27.753333333333337,-1.051113333333337,1.051113333333337
8.5,2003-11-01,JJA,2004-07-15,26.77539,27.753333333333337,-0.9779433333333358,0.9779433333333358
7.5,2003-12-01,JJA,2004-07-15,26.5445,27.753333333333337,-1.208833333333338,1.208833333333338
6.5,2004-01-01,JJA,2004-07-15,26.74035,27.753333333333337,-1.012983333333338,1.012983333333338
5.5,2004-02-01,JJA,2004-07-15,26.77883,27.753333333333337,-0.9745033333333382,0.9745033333333382
4.5,2004-03-01,JJA,2004-07-15,26.88906,27.753333333333337,-0.8642733333333368,0.8642733333333368
3.5,2004-04-01,JJA,2004-07-15,27.02597,27.753333333333337,-0.7273633333333365,0.7273633333333365
2.5,2004-05-01,JJA,2004-07-15,26.92625,27.753333333333337,-0.8270833333333378,0.8270833333333378
1.5,2004-06-01,JJA,2004-07-15,26.9678,27.753333333333337,-0.785533333333337,0.785533333333337
10.5,2005-11-01,ASO,2006-09-15,26.22434,27.296666666666667,-1.0723266666666653,1.0723266666666653
9.5,2005-12-01,ASO,2006-09-15,25.79865,27.296666666666667,-1.4980166666666683,1.4980166666666683
8.5,2006-01-01,ASO,2006-09-15,25.96286,27.296666666666667,-1.3338066666666677,1.3338066666666677
7.5,2006-02-01,ASO,2006-09-15,26.23571,27.296666666666667,-1.0609566666666659,1.0609566666666659
6.5,2006-03-01,ASO,2006-09-15,26.58691,27.296666666666667,-0.7097566666666673,0.7097566666666673
5.5,2006-04-01,ASO,2006-09-15,26.18201,27.296666666666667,-1.1146566666666686,1.1146566666666686
4.5,2006-05-01,ASO,2006-09-15,26.63066,27.296666666666667,-0.666006666666668,0.666006666666668
3.5,2006-06-01,ASO,2006-09-15,26.36377,27.296666666666667,-0.932896666666668,0.932896666666668
2.5,2006-07-01,ASO,2006-09-15,26.84356,27.296666666666667,-0.45310666666666677,0.45310666666666677
1.5,2006-08-01,ASO,2006-09-15,26.77043,27.296666666666667,-0.5262366666666658,0.5262366666666658
10.5,2008-09-01,JJA,2009-07-15,26.60772,27.74666666666667,-1.1389466666666692,1.1389466666666692
9.5,2008-10-01,JJA,2009-07-15,26.72941,27.74666666666667,-1.0172566666666683,1.0172566666666683
8.5,2008-11-01,JJA,2009-07-15,26.76095,27.74666666666667,-0.9857166666666686,0.9857166666666686
7.5,2008-12-01,JJA,2009-07-15,27.19653,27.74666666666667,-0.5501366666666705,0.5501366666666705
6.5,2009-01-01,JJA,2009-07-15,27.23823,27.74666666666667,-0.5084366666666682,0.5084366666666682
5.5,2009-02-01,JJA,2009-07-15,27.3614,27.74666666666667,-0.38526666666667,0.38526666666667
4.5,2009-03-01,JJA,2009-07-15,27.44215,27.74666666666667,-0.3045166666666681,0.3045166666666681
3.5,2009-04-01,JJA,2009-07-15,27.3917,27.74666666666667,-0.35496666666666954,0.35496666666666954
2.5,2009-05-01,JJA,2009-07-15,27.40403,27.74666666666667,-0.3426366666666709,0.3426366666666709
1.5,2009-06-01,JJA,2009-07-15,27.64859,27.74666666666667,-0.09807666666667103,0.09807666666667103
10.5,2013-12-01,SON,2014-10-15,26.23744,27.210000000000004,-0.972560000000005,0.972560000000005
9.5,2014-01-01,SON,2014-10-15,26.96319,27.210000000000004,-0.24681000000000353,0.24681000000000353
8.5,2014-02-01,SON,2014-10-15,26.99628,27.210000000000004,-0.21372000000000568,0.21372000000000568
7.5,2014-03-01,SON,2014-10-15,26.68704,27.210000000000004,-0.5229600000000048,0.5229600000000048
6.5,2014-04-01,SON,2014-10-15,26.94883,27.210000000000004,-0.26117000000000345,0.26117000000000345
5.5,2014-05-01,SON,2014-10-15,27.29188,27.210000000000004,0.08187999999999462,0.08187999999999462
4.5,2014-06-01,SON,2014-10-15,27.20991,27.210000000000004,-9.000000000369823e-05,9.000000000369823e-05
3.5,2014-07-01,SON,2014-10-15,26.88288,27.210000000000004,-0.3271200000000043,0.3271200000000043
2.5,2014-08-01,SON,2014-10-15,27.41543,27.210000000000004,0.20542999999999623,0.20542999999999623
1.5,2014-09-01,SON,2014-10-15,27.23767,27.210000000000004,0.027669999999996975,0.027669999999996975
10.5,2017-11-01,ASO,2018-09-15,25.83697,27.25,-1.4130299999999991,1.4130299999999991
9.5,2017-12-01,ASO,2018-09-15,25.67574,27.25,-1.5742599999999989,1.5742599999999989
8.5,2018-01-01,ASO,2018-09-15,26.00937,27.25,-1.2406299999999995,1.2406299999999995
7.5,2018-02-01,ASO,2018-09-15,26.01567,27.25,-1.23433,1.23433
6.5,2018-03-01,ASO,2018-09-15,26.09151,27.25,-1.1584900000000005,1.1584900000000005
5.5,2018-04-01,ASO,2018-09-15,26.28632,27.25,-0.9636800000000001,0.9636800000000001
4.5,2018-05-01,ASO,2018-09-15,26.27201,27.25,-0.9779899999999984,0.9779899999999984
3.5,2018-06-01,ASO,2018-09-15,26.61941,27.25,-0.6305900000000015,0.6305900000000015
2.5,2018-07-01,ASO,2018-09-15,27.05198,27.25,-0.19801999999999964,0.19801999999999964
1.5,2018-08-01,ASO,2018-09-15,27.09763,27.25,-0.15237000000000123,0.15237000000000123
