L,MON,SZN,TAR,LDC_SST_NASA_GEOSS2S,OBS_NINO3.4_L3,BIAS,BIAS_ABS
3.5,2008-08-01,OND,2008-11-15,26.08642,26.12,-0.03358000000000061,0.03358000000000061
2.5,2008-09-01,OND,2008-11-15,26.35223,26.12,0.23222999999999772,0.23222999999999772
1.5,2008-10-01,OND,2008-11-15,25.99117,26.12,-0.12883000000000067,0.12883000000000067
7.5,2009-11-01,MJJ,2010-06-15,27.58882,26.99,0.5988199999999999,0.5988199999999999
6.5,2009-12-01,MJJ,2010-06-15,28.16928,26.99,1.179280000000002,1.179280000000002
5.5,2010-01-01,MJJ,2010-06-15,28.0959,26.99,1.1059000000000019,1.1059000000000019
4.5,2010-02-01,MJJ,2010-06-15,27.84264,26.99,0.852640000000001,0.852640000000001
3.5,2010-03-01,MJJ,2010-06-15,27.89687,26.99,0.9068700000000014,0.9068700000000014
2.5,2010-04-01,MJJ,2010-06-15,27.66809,26.99,0.678090000000001,0.678090000000001
1.5,2010-05-01,MJJ,2010-06-15,27.4289,26.99,0.4389000000000003,0.4389000000000003
7.5,2010-12-01,JJA,2011-07-15,26.02335,26.81,-0.7866499999999981,0.7866499999999981
6.5,2011-01-01,JJA,2011-07-15,26.92025,26.81,0.11025000000000063,0.11025000000000063
5.5,2011-02-01,JJA,2011-07-15,26.93734,26.81,0.12734000000000023,0.12734000000000023
4.5,2011-03-01,JJA,2011-07-15,27.62058,26.81,0.8105800000000016,0.8105800000000016
3.5,2011-04-01,JJA,2011-07-15,27.64002,26.81,0.8300200000000011,0.8300200000000011
2.5,2011-05-01,JJA,2011-07-15,27.40154,26.81,0.591540000000002,0.591540000000002
1.5,2011-06-01,JJA,2011-07-15,27.4187,26.81,0.6087000000000025,0.6087000000000025
7.5,2016-01-01,JAS,2016-08-15,26.43133,26.413333333333338,0.017996666666661554,0.017996666666661554
6.5,2016-02-01,JAS,2016-08-15,26.45734,26.413333333333338,0.044006666666660976,0.044006666666660976
5.5,2016-03-01,JAS,2016-08-15,27.10201,26.413333333333338,0.6886766666666624,0.6886766666666624
4.5,2016-04-01,JAS,2016-08-15,26.9873,26.413333333333338,0.5739666666666636,0.5739666666666636
3.5,2016-05-01,JAS,2016-08-15,26.42089,26.413333333333338,0.007556666666662437,0.007556666666662437
2.5,2016-06-01,JAS,2016-08-15,26.32324,26.413333333333338,-0.09009333333333913,0.09009333333333913
1.5,2016-07-01,JAS,2016-08-15,26.58678,26.413333333333338,0.17344666666666342,0.17344666666666342
7.5,2017-03-01,SON,2017-10-15,29.59822,26.06,3.5382200000000026,3.5382200000000026
6.5,2017-04-01,SON,2017-10-15,27.92763,26.06,1.867630000000002,1.867630000000002
5.5,2017-05-01,SON,2017-10-15,27.27716,26.06,1.2171599999999998,1.2171599999999998
4.5,2017-06-01,SON,2017-10-15,26.87763,26.06,0.8176300000000012,0.8176300000000012
3.5,2017-07-01,SON,2017-10-15,26.24305,26.06,0.1830500000000015,0.1830500000000015
2.5,2017-08-01,SON,2017-10-15,25.48078,26.06,-0.5792199999999994,0.5792199999999994
1.5,2017-09-01,SON,2017-10-15,25.14221,26.06,-0.9177900000000001,0.9177900000000001
7.5,2020-01-01,JAS,2020-08-15,25.61992,26.38,-0.7600799999999985,0.7600799999999985
6.5,2020-02-01,JAS,2020-08-15,26.03405,26.38,-0.3459499999999984,0.3459499999999984
5.5,2020-03-01,JAS,2020-08-15,26.05002,26.38,-0.32997999999999905,0.32997999999999905
4.5,2020-04-01,JAS,2020-08-15,25.58521,26.38,-0.794789999999999,0.794789999999999
3.5,2020-05-01,JAS,2020-08-15,26.13247,26.38,-0.24752999999999759,0.24752999999999759
2.5,2020-06-01,JAS,2020-08-15,25.97091,26.38,-0.40908999999999907,0.40908999999999907
1.5,2020-07-01,JAS,2020-08-15,25.71633,26.38,-0.6636699999999998,0.6636699999999998
